Code,Districts,Libellé,Latitude,Longitude,Voitures de tourisme pour 1000 habitants 2023,Nb. d'accidents avec blessés/tués 2022,Nb. d'accidents avec dommages matériels 2022,Part des voitures électriques 2023,Gare/station,Surface totale,Altitude maximale,Altitude minimale,Habitat et infrastructures (part du territoire) 2020,Surfaces boisées (part du territoire) 2020,Surfaces agricoles (part du territoire) 2020,Surfaces improductives (part du territoire) 2020,Taux d'accroissement des logements 2021,Densité de population 2023,Part des maisons individuelles 2022,Etablissements tous secteurs 2021,Rapport de dépendance des jeunes 2023,Rapport de dépendance des personnes âgées 2023,Taux annuel 2016-2020,Population résidante permanente 2023,Part des élèves du primaire dans la population 2022,Part des élèves du secondaire inférieur dans la population 2022,Coefficient d'imposition communal 2022,Dépenses d'investissement par habitant (moyenne des 3 dernières années 2022),Marge d'autofinancement par habitant 2022,Excédent ou insuffisance de financement par habitant 2022
5604,Lavaux-Oron,Forel (Lavaux),46.5419511,6.77037,752.9,5,4,3.7,0,1848,927,641,8.9,28,62.9,0.2,0.2,111.7,26.4,215,38.1,30.4,0.47,2068,8.95,3.19,69,1334.2,635.1,-1231.4
5606,Lavaux-Oron,Lutry,46.5032766,6.6867879,591.8,18,23,5.5,1,841,836,372,40.2,20,39.5,0.4,1.63,1276.1,20.5,876,34.6,39.3,1.4,10796,6.42,2.17,54,400.1,-31.3,-457.4
5607,Lavaux-Oron,Puidoux,46.5008111,6.7823914,663.4,7,17,4.4,1,2284,985,372,11.9,24.1,61.4,2.7,0,131.8,16.4,324,33.2,21.9,0.17,3012,8.69,3.51,68.5,743.7,650.3,498.5
5609,Lavaux-Oron,Rivaz,46.4762772,6.7786403,575.4,3,1,2.1,1,29,541,371,27.6,0,72.4,0,0,1051.6,17.9,32,22.2,35.3,-1.43,326,4.52,1.51,62,277.5,119.8,-60.4
5610,Lavaux-Oron,St-Saphorin (Lavaux),46.4731819,6.7959554,787,3,7,2.9,0,87,708,372,34.5,11.5,54,0,0,439.3,35,29,33.5,26.1,-0.63,391,2.99,1.24,72,1480.3,182.7,-2225.5
5611,Lavaux-Oron,Savigny,46.5384249,6.7316194,644.3,8,8,3.6,0,1609,906,716,14,30.9,54.9,0.1,0.25,215.4,39.5,293,36.8,34.9,0.54,3448,8.65,3.04,69,461.3,764.9,117.2
5613,Lavaux-Oron,Bourg-en-Lavaux,46.50476465,6.73217488047981,584,5,6,5.7,1,967,927,372,25.9,13.5,60,0.6,0.39,560.7,30.8,467,33.1,36.9,0.44,5411,6.74,2.88,62.5,815.8,733.1,245.9
5621,Morges,Aclens,46.5680294,6.51076,1110.7,7,5,4.9,0,390,516,394,18.2,14.4,67.2,0.3,0,148.2,20.7,110,32.9,21.7,0.33,578,10.95,2.15,62,3890.3,1452.7,779.8
5622,Morges,Bremblens,46.5461677,6.51777,786.9,2,1,8.8,0,294,480,390,11.9,19.7,67.7,0.7,1.27,211,39.5,46,40.9,25.5,3.1,614,8.77,4.14,68,12,481.9,481.9
5623,Morges,Buchillon,46.4702466,6.4230108,666.7,0,0,7.2,0,215,410,372,27.9,30.2,40,1.9,0.31,327.1,56.9,48,42.3,40.4,3.02,687,7.76,2.99,52,447.1,1048.1,284
