Village,District,Latitude,Longitude,Population,Energie solaire,Cluster
Saint-Oyens,Morges,46.4980293,6.3063994,326,1273,1
Valeyres-sous-Ursins,Jura-Nord vaudois,46.7458204,6.655254,241,1205,1
Rennaz,Aigle,46.3757048,6.9190655,777,1115,1
Gilly,Nyon,46.4575111,6.2969883,768,1461,1
Eclépens,Morges,46.6515007,6.5285061,904,1273,0
Lully,Morges,46.5052587,6.4647302,763,1273,1
Henniez,Broye-Vully,46.7422549,6.8834048,230,1350,0
Bretonnières,Jura-Nord vaudois,46.7122384,6.4734908,236,1205,0
Sullens,Gros-de-Vaud,46.5931372,6.5661454,907,1231,1
Mutrux,Jura-Nord vaudois,46.8825207,6.7261849,138,1205,2
Dompierre,Broye-Vully,46.7081899,6.8835369,247,1350,1
Tannay,Nyon,46.3089604,6.1757001,1436,1461,0
Poliez-Pittet,Gros-de-Vaud,46.6277599,6.6826495,805,1231,1
Villars-le-Comte,Broye-Vully,46.7106452,6.7990287,153,1350,1
Villarzel,Broye-Vully,46.7478499,6.9118617,190,1350,1
Orges,Jura-Nord vaudois,46.8082337,6.5875293,275,1205,0
Villars-sous-Yens,Morges,46.5102444,6.4286538,560,1273,1
Chamblon,Jura-Nord vaudois,46.7772764,6.6044112,590,1205,1
Berolle,Morges,46.5583845,6.3373241,299,1273,2
Bettens,Gros-de-Vaud,46.6275904,6.5770883,529,1231,1
Oppens,Gros-de-Vaud,46.714312,6.6923429,177,1231,1
Giez,Jura-Nord vaudois,46.8117633,6.6177511,391,1205,1
La Praz,Jura-Nord vaudois,46.6675257,6.4272029,157,1205,2
Crans,Nyon,46.3579285,6.2058302,2043,1461,1
Ropraz,Broye-Vully,46.6153223,6.7515592,373,1350,1
Rivaz,Lavaux-Oron,46.4762772,6.7786403,353,985,0
Vugelles-La Mothe,Jura-Nord vaudois,46.8239401,6.5757152,129,1205,2
Curtilles,Broye-Vully,46.7005524,6.8486858,308,1350,1
Tartegnin,Nyon,46.4666552,6.3156804,228,1461,1
Genolier,Nyon,46.4350251,6.2178235,1761,1461,0
Bottens,Gros-de-Vaud,46.6169088,6.6607269,917,1231,1
Vich,Nyon,46.4294193,6.2505497,734,1461,1
Prangins,Nyon,46.3947976,6.2487871,3909,1461,1
Saint-Barthélemy,Gros-de-Vaud,46.6355663,6.6001447,777,1231,1
Montricher,Morges,46.6001762,6.375822,933,1273,2
Bioley-Magnoux,Jura-Nord vaudois,46.7255605,6.7108156,196,1205,1
Suchy,Jura-Nord vaudois,46.7232325,6.5994077,487,1205,1
Chevroux,Broye-Vully,46.8898441,6.9053929,435,1350,1
Aclens,Morges,46.5680294,6.51076,363,1273,1
Pompaples,Morges,46.6666443,6.5106833,761,1273,1
Bournens,Gros-de-Vaud,46.6041672,6.5633012,360,1231,1
Le Vaud,Nyon,46.4774891,6.2355007,942,1461,1
Denens,Morges,46.518323,6.4564786,699,1273,1
Tolochenaz,Morges,46.5047001,6.4734539,1880,1273,0
Begnins,Nyon,46.4411298,6.2492689,1335,1461,1
Prévonloup,Broye-Vully,46.699867,6.8820157,173,1350,1
Chardonne,Riviera-Pays d'Enhaut,46.4770903,6.8271259,2818,1115,0
Rovray,Jura-Nord vaudois,46.7849701,6.7644976,164,1205,1
Vullierens,Morges,46.5730401,6.4816261,445,1273,1
Lussery-Villars,Gros-de-Vaud,46.6309961,6.5251994,406,1231,1
Duillier,Nyon,46.4097312,6.235451,1008,1461,1
Luins,Nyon,46.442819,6.271154,611,1461,1
Boulens,Gros-de-Vaud,46.681059,6.7192139,400,1231,1
Bretigny-sur-Morrens,Gros-de-Vaud,46.596563,6.640643,747,1231,1
Gingins,Nyon,46.4094508,6.1779167,1037,1461,2
Préverenges,Morges,46.5183844,6.5267369,5190,1273,3
Grandevent,Jura-Nord vaudois,46.8388002,6.6065632,226,1205,2
Bofflens,Jura-Nord vaudois,46.7045569,6.4989467,189,1205,1
Chessel,Aigle,46.3495725,6.8944469,360,1115,1
Concise,Jura-Nord vaudois,46.8511242,6.7205199,957,1205,2
Hermenches,Broye-Vully,46.6419061,6.7602141,375,1350,1
Cheseaux-Noréaz,Jura-Nord vaudois,46.7820326,6.6718258,662,1205,2
Eysins,Nyon,46.3807218,6.2042596,1363,1461,1
Trélex,Nyon,46.414967,6.2048987,1390,1461,0
Boussens,Gros-de-Vaud,46.6024104,6.5845617,743,1231,1
Vucherens,Broye-Vully,46.624684,6.7769649,534,1350,1
Assens,Gros-de-Vaud,46.6127871,6.6225936,1024,1231,0
Saint-Prex,Morges,46.4809059,6.4586004,5437,1273,0
Pomy,Jura-Nord vaudois,46.7609575,6.6663747,736,1205,1
Moiry,Morges,46.6485773,6.4552338,202,1273,2
Forel (Lavaux),Lavaux-Oron,46.5419511,6.77037,1704,985,1
Longirod,Nyon,46.4943826,6.2581282,344,1461,2
Denges,Morges,46.5241679,6.5402546,1631,1273,0
Féchy,Morges,46.4786555,6.3747532,861,1273,1
Grens,Nyon,46.3937213,6.1916774,365,1461,1
Treycovagnes,Jura-Nord vaudois,46.7738784,6.6092758,473,1205,1
Champvent,Jura-Nord vaudois,46.7828052,6.5726094,299,1205,1
Etagnières,Gros-de-Vaud,46.6001382,6.6134167,1106,1231,0
Villars-le-Terroir,Gros-de-Vaud,46.6569364,6.6387429,637,1231,1
Ogens,Gros-de-Vaud,46.7111659,6.7227737,261,1231,1
Corseaux,Riviera-Pays d'Enhaut,46.4722747,6.8320071,2131,1115,3
Rougemont,Riviera-Pays d'Enhaut,46.4899991,7.2106992,901,1115,2
Gimel,Morges,46.5088102,6.3070695,1921,1273,2
Saint-Livres,Morges,46.5089259,6.3865062,538,1273,1
Vulliens,Broye-Vully,46.6212858,6.7927903,438,1350,1
La Chaux (Cossonay),Morges,46.61604,6.472555,425,1273,1
Arnex-sur-Nyon,Nyon,46.3759907,6.1913819,190,1461,1
Essertines-sur-Rolle,Nyon,46.4924891,6.3170166,496,1461,1
Villars-Sainte-Croix,Ouest lausannois,46.5675877,6.5616074,666,1074,1
Jouxtens-Mézery,Lausanne,46.5532677,6.5980688,1397,1074,0
Pailly,Gros-de-Vaud,46.7013191,6.6745,521,1231,1
Villeneuve,Aigle,46.3965712,6.9248129,5921,1115,2
Echandens,Morges,46.534381,6.5410474,2235,1273,0
L'Isle,Morges,46.6187582,6.411704,858,1273,2
Noville,Aigle,46.3817112,6.8996176,907,1115,1
Le Chenit,Jura-Nord vaudois,46.6046637,6.2337695,4297,1205,2
Suscévaz,Jura-Nord vaudois,46.7642362,6.5780348,199,1205,1
Chavannes-le-Veyron,Morges,46.60645,6.4509017,127,1273,1
Echichens,Morges,46.5265541,6.4978862,2550,1273,1
