wayId,cycleway,length,coordinates
23949351,lane,152.26926270935402,"[(46.391544, 6.2381334), (46.3916174, 6.2381438), (46.3916965, 6.2381518), (46.3919202, 6.2381879), (46.3920775, 6.2382155), (46.3923314, 6.2382698), (46.3924509, 6.2383006), (46.3927496, 6.2383879), (46.3928967, 6.2384335)]"
24025747,opposite,102.68435875386646,"[(46.5253496, 6.6204031), (46.5257829, 6.620953), (46.5260495, 6.6212764)]"
24025788,opposite,253.2144041654041,"[(46.5261795, 6.6180897), (46.5260202, 6.6186955), (46.5256193, 6.6195985), (46.5255636, 6.6197149), (46.5255376, 6.6197693), (46.5254907, 6.6198674), (46.5254172, 6.6200038), (46.525315, 6.6201834), (46.5253068, 6.6201979), (46.5252316, 6.6203301), (46.5251012, 6.6205859), (46.5250587, 6.6206692), (46.525037, 6.6207344), (46.5250444, 6.6207943), (46.5250777, 6.6208824)]"
24159103,no,729.7290438085555,"[(46.8335902, 6.6823345), (46.8333163, 6.6817053), (46.8331187, 6.68122), (46.8329131, 6.6808424), (46.8327198, 6.6805474), (46.8325821, 6.6803641), (46.8320219, 6.6796606), (46.8318125, 6.6793574), (46.8316748, 6.6790872), (46.8315592, 6.6788168), (46.8313245, 6.6781268), (46.8311964, 6.6778148), (46.8310575, 6.6775265), (46.8308295, 6.6771834), (46.8296686, 6.6759336), (46.8291795, 6.6754449)]"
24241860,no,102.82079788200608,"[(46.379692, 6.9247488), (46.3799106, 6.9247381), (46.3799128, 6.9247385), (46.3800434, 6.9247282), (46.380171, 6.9247473), (46.3802814, 6.9248001), (46.3804049, 6.9249043), (46.3804857, 6.925004), (46.3805461, 6.9250785)]"
24279123,lane,51.49803558403561,"[(46.5319289, 6.5890915), (46.532269, 6.5895473)]"
24378432,lane,43.47783362744967,"[(46.5058957, 6.6705211), (46.5057745, 6.6707911), (46.5056825, 6.670996)]"
24387502,lane,327.1535155842476,"[(46.3823995, 6.2161764), (46.3828438, 6.2164301), (46.3829382, 6.2164895), (46.3830247, 6.2165589), (46.3831355, 6.2166543), (46.3832032, 6.2167291), (46.383267, 6.2168042), (46.3834991, 6.2170854), (46.3839175, 6.2175935), (46.3840226, 6.2177188), (46.3841249, 6.217841), (46.3843509, 6.218111), (46.3847794, 6.2186215)]"
24387536,lane,166.3696322543626,"[(46.3820372, 6.2291014), (46.3820732, 6.2291601), (46.3821922, 6.2293409), (46.3825885, 6.2298971), (46.3827581, 6.2301402), (46.382949, 6.2304057), (46.3831028, 6.2306195)]"
24404693,lane,331.71287816549375,"[(46.391544, 6.2381334), (46.3914326, 6.2381198), (46.3912775, 6.2380998), (46.3910217, 6.2380621), (46.3908114, 6.2380444), (46.3907035, 6.2380465), (46.3905862, 6.238063), (46.3904178, 6.2380913), (46.3902644, 6.2381373), (46.3901107, 6.2381905), (46.3899858, 6.2382455), (46.3898869, 6.2382925), (46.3897536, 6.2383641), (46.3895965, 6.2384335), (46.3894465, 6.2384883), (46.389301, 6.2385266), (46.3890072, 6.2385942), (46.3888253, 6.2386542), (46.3887535, 6.2386836), (46.3886219, 6.2387351)]"
24404957,lane,97.05587715392076,"[(46.4996788, 6.473365), (46.4994986, 6.4735197), (46.499191, 6.4737937), (46.4989331, 6.4740226)]"
24438789,opposite,193.31789381376228,"[(46.5028638, 6.6836232), (46.5028433, 6.6836607), (46.5027633, 6.68399), (46.5027307, 6.6841372), (46.5026798, 6.6843748), (46.5026764, 6.6843929), (46.5026627, 6.6844605), (46.5026568, 6.6844952), (46.5025957, 6.6846433), (46.5024411, 6.6849542), (46.5024144, 6.6850176), (46.5023064, 6.6854812), (46.5022553, 6.6856974), (46.5022116, 6.6859347)]"
24476623,lane,56.78596993003896,"[(46.4293636, 6.2644013), (46.4291651, 6.264628), (46.4289638, 6.2648612)]"
24476696,track,37.38649257673532,"[(46.3908066, 6.2412619), (46.3908858, 6.2407895)]"
24523743,lane,41.369852153782354,"[(46.5061651, 6.6697546), (46.5061435, 6.6698335), (46.5061071, 6.6699889), (46.5060806, 6.6700781), (46.5060117, 6.6702432)]"
24537307,lane,23.6186085287417,"[(46.5281349, 6.6039986), (46.5281826, 6.6038797), (46.5282577, 6.603775), (46.5282673, 6.6037616)]"
24538087,lane,835.0546599603481,"[(46.5278157, 6.5911789), (46.5277912, 6.5912397), (46.5277607, 6.5913068), (46.5276973, 6.591449), (46.5276821, 6.591483), (46.5276548, 6.5915473), (46.5275304, 6.5918444), (46.5273741, 6.5922183), (46.5273579, 6.5922585), (46.5273561, 6.5922629), (46.5272387, 6.5925532), (46.5271419, 6.5928195), (46.5270632, 6.5930169), (46.5268583, 6.5935022), (46.5267505, 6.5937578), (46.5265051, 6.594339), (46.5264103, 6.5945636), (46.5261572, 6.5951634), (46.5261183, 6.5952552), (46.5260978, 6.5953042), (46.5260423, 6.5954355), (46.5259871, 6.5955664), (46.5257108, 6.5962208), (46.5256288, 6.5964149), (46.5254774, 6.5968251), (46.5253893, 6.5970659), (46.5253284, 6.5972322), (46.5252933, 6.597335), (46.525268, 6.5974088), (46.5252087, 6.5975824), (46.5251859, 6.5976507), (46.5251558, 6.5977407), (46.5251074, 6.5978806), (46.5250949, 6.5979205), (46.525084, 6.5979553), (46.5249306, 6.5984291), (46.5248416, 6.5987325), (46.5245615, 6.5996841), (46.5243562, 6.6004154), (46.5242552, 6.6007384)]"
24570056,lane,334.91630874003033,"[(46.4996662, 6.6970942), (46.4994974, 6.697537), (46.4993295, 6.6979861), (46.4990914, 6.6986154), (46.4989578, 6.6990134), (46.4989111, 6.6992254), (46.4988495, 6.6995054), (46.4987383, 6.6999754), (46.4986829, 6.7002123), (46.498618, 6.7004197), (46.4985578, 6.7005861), (46.4984688, 6.7007974), (46.4983715, 6.7009946), (46.4983649, 6.7010094)]"
24585115,lane,20.360254272798837,"[(46.5390262, 6.5983736), (46.5389448, 6.5984948), (46.538907, 6.598574)]"
24607247,lane,59.50320862062496,"[(46.5209897, 6.6155864), (46.5209828, 6.6156264), (46.5209745, 6.6156887), (46.5209385, 6.6159545), (46.5209036, 6.6163512)]"
24679253,opposite,127.72366566387943,"[(46.5218317, 6.6469407), (46.5217872, 6.6470943), (46.5217871, 6.6472772), (46.5218002, 6.6474846), (46.5218504, 6.6478415), (46.5218528, 6.6480172), (46.5218487, 6.6482433), (46.5218121, 6.6485798)]"
24679461,lane,221.9752840617626,"[(46.5072013, 6.6648623), (46.5071843, 6.6652929), (46.5071835, 6.6653027), (46.5071548, 6.6656382), (46.5071468, 6.6657317), (46.507124, 6.6658605), (46.5071031, 6.6659842), (46.5070765, 6.6661286), (46.5070022, 6.6664089), (46.5069806, 6.6664771), (46.5068718, 6.6668209), (46.5067128, 6.6673087), (46.5066186, 6.6675937)]"
24679462,lane,214.64944389988392,"[(46.5067681, 6.6584237), (46.5067958, 6.6587939), (46.5068127, 6.659084), (46.5068144, 6.6591474), (46.5068106, 6.6594018), (46.5068011, 6.6595232), (46.5067885, 6.6596844), (46.5067702, 6.6598301), (46.5067388, 6.6600792), (46.5066845, 6.660463), (46.5066606, 6.6607054), (46.5066518, 6.66083), (46.5066457, 6.6609382), (46.5066425, 6.660993), (46.506639, 6.661197)]"
24693253,lane,121.35538964420233,"[(46.5007882, 6.6911541), (46.5006498, 6.6917831), (46.5005984, 6.6920526), (46.5005825, 6.6921943), (46.5005656, 6.6925288), (46.5005574, 6.6926906)]"
24695433,lane,74.95234646419316,"[(46.5168177, 6.6043342), (46.5168993, 6.6044986), (46.5169433, 6.6046055), (46.516966, 6.6046944), (46.5169778, 6.6047862), (46.5169854, 6.6049216), (46.5169808, 6.6052473)]"
24717851,opposite,197.98671784798722,"[(46.5104039, 6.650044), (46.5103396, 6.6498739), (46.5098887, 6.6486096), (46.5097281, 6.6482878), (46.5095053, 6.6478232)]"
24748203,no,21.525120190027895,"[(46.5630894, 6.6342474), (46.5631115, 6.6342617), (46.5631354, 6.6342674), (46.5631594, 6.6342642), (46.5631822, 6.6342523), (46.5632021, 6.6342325), (46.563218, 6.6342059), (46.5632287, 6.6341744), (46.5632337, 6.63414)]"
