Libellé,Cluster,Districts
Vuarrens,1,Gros-de-Vaud
Montilliez,0,Gros-de-Vaud
Goumoëns,1,Gros-de-Vaud
Bonvillars,0,Jura-Nord vaudois
Bullet,2,Jura-Nord vaudois
Champagne,1,Jura-Nord vaudois
Concise,2,Jura-Nord vaudois
Corcelles-près-Concise,1,Jura-Nord vaudois
Fiez,1,Jura-Nord vaudois
Fontaines-sur-Grandson,2,Jura-Nord vaudois
Giez,1,Jura-Nord vaudois
Grandevent,2,Jura-Nord vaudois
Grandson,0,Jura-Nord vaudois
Mauborget,2,Jura-Nord vaudois
Mutrux,2,Jura-Nord vaudois
Novalles,1,Jura-Nord vaudois
Onnens,0,Jura-Nord vaudois
Provence,2,Jura-Nord vaudois
Sainte-Croix,2,Jura-Nord vaudois
Tévenon,2,Jura-Nord vaudois
Belmont-sur-Lausanne,1,Lavaux-Oron
Cheseaux-sur-Lausanne,0,Lausanne
Crissier,3,Ouest lausannois
Epalinges,3,Lausanne
Jouxtens-Mézery,0,Lausanne
Le Mont-sur-Lausanne,1,Lausanne
Paudex,3,Lavaux-Oron
Prilly,3,Ouest lausannois
Pully,3,Lavaux-Oron
Renens,3,Ouest lausannois
Romanel-sur-Lausanne,0,Lausanne
Chexbres,0,Lavaux-Oron
Forel (Lavaux),1,Lavaux-Oron
Lutry,3,Lavaux-Oron
Puidoux,0,Lavaux-Oron
Rivaz,0,Lavaux-Oron
Saint-Saphorin (Lavaux),1,Lavaux-Oron
Savigny,1,Lavaux-Oron
Bourg-en-Lavaux,0,Lavaux-Oron
Aclens,1,Morges
Bremblens,1,Morges
Buchillon,1,Morges
Bussigny,3,Ouest lausannois
Chavannes-près-Renens,3,Ouest lausannois
Chigny,0,Morges
Clarmont,1,Morges
Denens,1,Morges
Denges,0,Morges
Echandens,0,Morges
Echichens,1,Morges
Ecublens,3,Ouest lausannois
Etoy,0,Morges
Lavigny,1,Morges
Lonay,0,Morges
Lully,1,Morges
Lussy-sur-Morges,1,Morges
Morges,3,Morges
Préverenges,3,Morges
Romanel-sur-Morges,1,Morges
Saint-Prex,0,Morges
Saint-Sulpice,3,Ouest lausannois
Tolochenaz,0,Morges
Vaux-sur-Morges,1,Morges
Villars-Sainte-Croix,1,Ouest lausannois
Villars-sous-Yens,1,Morges
Vufflens-le-Château,0,Morges
Vullierens,1,Morges
Yens,0,Morges
Hautemorges,1,Morges
Boulens,1,Gros-de-Vaud
Bussy-sur-Moudon,1,Broye-Vully
Chavannes-sur-Moudon,1,Broye-Vully
Curtilles,1,Broye-Vully
Dompierre,1,Broye-Vully
Hermenches,1,Broye-Vully
Lovatens,1,Broye-Vully
Lucens,0,Broye-Vully
Moudon,0,Broye-Vully
Ogens,1,Gros-de-Vaud
Prévonloup,1,Broye-Vully
Rossenges,1,Broye-Vully
Syens,1,Broye-Vully
Villars-le-Comte,1,Broye-Vully
Vucherens,1,Broye-Vully
Montanaire,1,Gros-de-Vaud
Arnex-sur-Nyon,1,Nyon
Arzier-Le Muids,2,Nyon
Bassins,2,Nyon
Begnins,1,Nyon
Bogis-Bossey,1,Nyon
Borex,1,Nyon
Chavannes-de-Bogis,1,Nyon
Chavannes-des-Bois,1,Nyon
Chéserex,2,Nyon
Coinsins,1,Nyon
Commugny,1,Nyon
Coppet,0,Nyon
Crans,1,Nyon
Crassier,1,Nyon
Duillier,1,Nyon
Eysins,1,Nyon
Founex,1,Nyon
Genolier,0,Nyon
Gingins,2,Nyon
Givrins,0,Nyon
Gland,3,Nyon
Grens,1,Nyon
Mies,0,Nyon
Nyon,3,Nyon
Prangins,1,Nyon
La Rippe,2,Nyon
Saint-Cergue,2,Nyon
Signy-Avenex,1,Nyon
Tannay,0,Nyon
Trélex,0,Nyon
Le Vaud,1,Nyon
Vich,1,Nyon
L'Abergement,2,Jura-Nord vaudois
Agiez,1,Jura-Nord vaudois
Arnex-sur-Orbe,0,Jura-Nord vaudois
